CD_MUN,NOME_CLEAN,latitude,longitude
1100015,alta floresta d'oesteRO,-12.47013227818517,-62.27466099603161
1100023,ariquemesRO,-9.951890006604936,-62.957255222993844
1100031,cabixiRO,-13.474878553376353,-60.63980722013748
1100049,cacoalRO,-11.301287363290804,-61.3247287380724
1100056,cerejeirasRO,-13.203561612721657,-61.260949557620656
1100064,colorado do oesteRO,-13.159153106782568,-60.55024441122719
1100072,corumbiaraRO,-12.926629419624062,-61.09164645723336
1100080,costa marquesRO,-12.14725010240025,-64.05877174324931
1100098,espigao d'oesteRO,-11.351342109107142,-60.78483064733634
1100106,guajara-mirimRO,-11.305636314199617,-64.53755690253571
1100114,jaruRO,-10.592448063981317,-62.58486557944692
1100122,ji-paranaRO,-10.4622205323863,-61.757252672701725
1100130,machadinho d'oesteRO,-9.204091497678762,-62.01037965123399
1100148,nova brasilandia d'oesteRO,-11.643119014384837,-62.280237925345496
1100155,ouro preto do oesteRO,-10.610553002362328,-62.17253237869172
1100189,pimenta buenoRO,-11.89446661983039,-60.8303966675937
1100205,porto velhoRO,-9.153592826551979,-64.30681433326818
1100254,presidente mediciRO,-11.166273968785362,-61.87795281636769
1100262,rio crespoRO,-9.645211562790422,-62.79007448468088
1100288,rolim de mouraRO,-11.732557735780821,-61.77155552903854
1100296,santa luzia d'oesteRO,-12.02696778829553,-61.70109060215897
1100304,vilhenaRO,-12.095621890538178,-60.248420480522306
1100320,sao miguel do guaporeRO,-11.614968866833117,-62.98324825026293
1100338,nova mamoreRO,-10.382167457794376,-64.62909952353108
1100346,alvorada d'oesteRO,-11.3114209655767,-62.544992237037846
1100379,alto alegre dos parecisRO,-12.593736082130919,-61.88080742435937
1100403,alto paraisoRO,-9.649310303810832,-63.39432225066334
1100452,buritisRO,-10.052115295145292,-63.94116273159337
1100502,novo horizonte do oesteRO,-11.681093911098282,-62.08320196617133
1100601,cacaulandiaRO,-10.331602810515609,-62.98726128630398
1100700,campo novo de rondoniaRO,-10.484933975187493,-63.79971646599476
1100809,candeias do jamariRO,-8.886993889203508,-63.3256206264707
1100908,castanheirasRO,-11.470802261579928,-61.88006979238368
1100924,chupinguaiaRO,-12.537328237135995,-60.89838404547186
1100940,cujubimRO,-9.171093633340757,-62.56533584234015
